premise	hypothesis	label
A man in a red and white uniform holding a bat.	a man is up to warn bat.	1
A baseball player is holding a bat.	the person has a piece of athletic equipment.	0
A baseball player is holding a bat.	the player will hit a ball.	1
A baseball player is holding a bat.	an athlete ; playing piano ;	2
A lone boat sitting in the water.	a boat sits alone at the docks grade.	0
A lone boat sitting in the water.	the boat is surrounded by other large wooden ships.	2
A lone boat sitting in the water.	a boat is floating.	1
A girl in a pink tank top and green pants is running through a field of tall flowers.	a girl with a tank top and pants is running.	0
A girl in a pink tank top and green pants is running through a field of tall flowers.	a girl in a purple brown top and green pants is running through a field of tall yellow trees.	1
A girl in a pink tank top and green pants is running through a field of tall flowers.	a girl in a blue dress is sitting under a tall tree.	2
Four ice skaters racing around a corner.	the people are seated on a couch.	2
Four ice skaters racing around a corner.	these people are all on the basketball team.	1
Four ice skaters racing around a corner.	the people are right.	0
Two men talk at a crowded beach on a nice day.	two people talk at the beach.	0
Two men talk at a crowded beach on a nice day.	two men talk in the rain.	2
Two men talk at a crowded beach on a nice day.	two men talks about their wives at the beach.	1
Four skaters are competing in a high speed skating competition, and turning on the track.	. people are skating.	0
Four skaters are competing in a high speed skating competition, and turning on the track.	these people are amanda the bar.	2
Four skaters are competing in a high speed skating competition, and turning on the track.	four people are daggers.	1
Four athletes from two different teams are competing in their sport on the ice rink.	they are playing a game on the ice.	0
Four athletes from two different teams are competing in their sport on the ice rink.	the couple is taking son damon.	2
Four athletes from two different teams are competing in their sport on the ice rink.	people are playing a game wearing colorful psychedelic coats.	1
Four people turn a corner in a speed skating event.	the people were skating.	0
Four people turn a corner in a speed skating event.	the skaters compete in an olympic style race.	1
Four people turn a corner in a speed skating event.	the boy and girl are swimming across the pool.	2
Four women participating in an ice-skating race.	some humans did.	0
Four women participating in an ice-skating race.	all humans participating.	2
Four women participating in an ice-skating race.	non humans participating	1
A team of soccer players in white strips are running around cones on a sports field.	most assault players are standing around drinking water.	2
A team of soccer players in white strips are running around cones on a sports field.	soccer players were running on the grass.	0
A team of soccer players in white strips are running around cones on a sports field.	a soccer team practices after school.	1
Runners in a marathon going uphill.	walkers must go uphill in the interior to reach the checkpoint.	1
Runners in a marathon going uphill.	recent run in the marathon.	0
Runners in a marathon going uphill.	the runners will not go up again.	2
An older man in jeans and a sweater is lifting down a box from the top of a pile.	the government is eating dinner.	2
An older man in jeans and a sweater is lifting down a box from the top of a pile.	thetya is looking for cosmetic in the boxes.	1
An older man in jeans and a sweater is lifting down a box from the top of a pile.	the title is the a box,	0
An older man places a wooden crate on top of a stack of wooden crates.	a man stacking crates.	0
An older man places a wooden crate on top of a stack of wooden crates.	a man counting stock and moving crates.	1
An older man places a wooden crate on top of a stack of wooden crates.	a man stacking boxes in a truck ;	2
Man in sweater stacks wooden crates next to pile of plastic crates.	a man working hard.	0
Man in sweater stacks wooden crates next to pile of plastic crates.	a couple like to keep things tidy.	1
Man in sweater stacks wooden crates next to pile of plastic crates.	a chicken asking for battle.	2
Man stacking wooden crates on top of each other.	a man performs simple basic tasks.	0
Man stacking wooden crates on top of each other.	a man is using a machine to stack crates.	1
Man stacking wooden crates on top of each other.	a man stacks crates next to each other.	2
An elderly male is reaching for a crate.	a woman sat on a crate	2
An elderly male is reaching for a crate.	a man with a crate	1
An elderly male is reaching for a crate.	the wild man trying to get to a crate	0
A girl in a green sweatshirt sitting down and a girl in a dress leaning on blue lockers.	one man is sitting.	0
A girl in a green sweatshirt sitting down and a girl in a dress leaning on blue lockers.	the girl is older.	2
A girl in a green sweatshirt sitting down and a girl in a dress leaning on blue lockers.	the girls are all dressed for the game.	1
